0.63,8.8,2.07,1.25,1,0.36,12.092,6.2239,0,0,0,23.856
0.63,8.8,2.07,1.25,1,0.36,11.855,7.8128,0,0,0,39.095
0.63,8.8,2.07,1.25,1,0.36,11.533,11.808,0,0,0,67.101
0.63,8.8,2.07,1.25,1,0.36,11.5,12.393,0,0,0,70.597
0.63,8.8,2.07,1.25,1,0.36,11.496,12.564,0,0,0,71.023
0.63,8.8,2.07,1.25,1,0.36,11.492,12.856,0,0.012453,0,71.463
0.63,8.8,2.07,1.25,1,0.36,11.486,13.028,0,0.023259,0,72.11
0.63,8.8,2.07,1.25,1,0.36,11.478,13.271,0,0.040436,0,73.082
0.63,8.8,2.07,1.25,1,0.36,11.464,13.565,0,0.065975,0,74.556
0.63,8.8,2.07,1.25,1,0.36,11.445,13.946,0,0.10467,0,76.812
0.63,8.8,2.07,1.25,1,0.36,11.415,14.414,0,0.16252,0,80.313
0.63,8.8,2.07,1.25,1,0.36,11.37,15.178,0,0.25212,0,85.783
0.63,8.8,2.07,1.25,1,0.36,11.308,16.309,7.765e-05,0.38716,0,94.006
0.63,8.8,2.07,1.25,1,0.36,11.25,17.436,0.00028734,0.51669,0,102.23
0.63,8.8,2.07,1.25,1,0.36,11.188,18.745,0.00046212,0.66391,0,111.82
0.63,8.8,2.07,1.25,1,0.36,11.125,20.058,0.00086112,0.81721,0,122.22
0.63,8.8,2.07,1.25,1,0.36,11.083,21.054,0.0010827,0.92337,0,129.61
0.63,8.8,2.07,1.25,1,0.36,11.021,22.524,0.0014661,1.0866,0,141.46
0.63,8.8,2.07,1.25,1,0.36,11,23.122,0.0016445,1.1426,0,145.6
0.63,8.8,2.07,1.25,1,0.36,10.938,24.82,0.0021507,1.3176,0,158.73
0.63,8.8,2.07,1.25,1,0.36,10.875,26.642,0.0026456,1.4971,0,172.92
0.63,8.8,2.07,1.25,1,0.36,10.813,28.589,0.0031625,1.6843,0,188.29
0.63,8.8,2.07,1.25,1,0.36,10.75,30.637,0.0037945,1.8759,0,204.86
0.63,8.8,2.07,1.25,1,0.36,10.688,32.993,0.0044654,2.0775,0,222.76
0.63,8.8,2.07,1.25,1,0.36,10.667,33.771,0.0047121,2.1454,0,229.05
0.63,8.8,2.07,1.25,1,0.36,10.604,36.267,0.0054589,2.3543,0,248.93
0.63,8.8,2.07,1.25,1,0.36,10.542,39.074,0.0064812,2.5721,0,270.42
0.63,8.8,2.07,1.25,1,0.36,10.5,40.904,0.0071559,2.7189,0,285.7
0.63,8.8,2.07,1.25,1,0.36,10.438,44.043,0.008183,2.9471,0,310.11
0.63,8.8,2.07,1.25,1,0.36,10.375,47.461,0.0094587,3.1829,0,336.54
0.63,8.8,2.07,1.25,1,0.36,10.313,51.03,0.010823,3.4243,0,365.13
0.63,8.8,2.07,1.25,1,0.36,10.25,55.118,0.012677,3.6754,0,396.07
0.63,8.8,2.07,1.25,1,0.36,10.188,59.263,0.014451,3.9308,0,429.51
0.63,8.8,2.07,1.25,1,0.36,10.125,64.075,0.016576,4.1961,0,465.72
0.63,8.8,2.07,1.25,1,0.36,10.063,69.168,0.019148,4.4674,0,504.96
0.63,8.8,2.07,1.25,1,0.36,10,74.735,0.02178,4.7468,0,547.47
0.63,8.8,2.07,1.25,1,0.36,9.9375,80.759,0.025606,5.0331,0,593.55
0.63,8.8,2.07,1.25,1,0.36,9.875,87.383,0.029661,5.3279,0,643.49
0.63,8.8,2.07,1.25,1,0.36,9.8333,92.204,0.032854,5.529,0,679.14
0.63,8.8,2.07,1.25,1,0.36,9.7708,99.858,0.038839,5.8365,0,736.41
0.63,8.8,2.07,1.25,1,0.36,9.75,102.55,0.040812,5.9406,0,756.56
0.63,8.8,2.07,1.25,1,0.36,9.6875,111.23,0.048536,6.2597,0,820.48
0.63,8.8,2.07,1.25,1,0.36,9.625,120.63,0.058255,6.5865,0,889.88
0.63,8.8,2.07,1.25,1,0.36,9.5625,130.93,0.071275,6.9224,0,965.32
0.63,8.8,2.07,1.25,1,0.36,9.5,142.14,0.091563,7.2674,0,1047.2
0.63,8.8,2.07,1.25,1,0.36,9.4375,154.14,0.12075,7.6207,0,1136.1
0.63,8.8,2.07,1.25,1,0.36,9.4167,158.37,0.13238,7.7404,0,1167.3
0.63,8.8,2.07,1.25,1,0.36,9.3542,171.04,0.20743,8.1063,0,1264.7
0.63,8.8,2.07,1.25,1,0.36,9.3385,174.2,0.23184,8.1979,0,1289.8
0.63,8.8,2.07,1.25,1,0.36,9.3327,175.4,0.24155,8.2321,0,1299.4
0.63,8.8,2.07,1.25,1,0.36,9.3283,176.31,0.24913,8.2577,0,1306.5
0.63,8.8,2.07,1.25,1,0.36,9.3239,177.19,0.25704,8.2832,0,1313.7
0.63,8.8,2.07,1.25,1,0.36,9.3222,176.75,0.26303,8.2934,0,1316.2
0.63,8.8,2.07,1.25,1,0.36,9.3221,176.68,0.26365,8.2945,0,1316.4
0.63,8.8,2.07,1.25,1,0.36,9.3219,176.67,0.26457,8.2959,0,1316.8
0.63,8.8,2.07,1.25,1,0.36,9.3215,176.73,0.26595,8.2978,0,1317.3
0.63,8.8,2.07,1.25,1,0.36,9.321,176.74,0.26859,8.3009,0,1318.1
0.63,8.8,2.07,1.25,1,0.36,9.3202,176.83,0.27241,8.3052,0,1319.3
0.63,8.8,2.07,1.25,1,0.36,9.319,176.98,0.27807,8.3116,0,1321.1
0.63,8.8,2.07,1.25,1,0.36,9.3173,177.2,0.28642,8.3211,0,1323.9
